Comment,Designator,Footprint,LCSC
"0.1uF","C1,C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C138340"
"1uF","C4","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"22uF","C5,C6,C7","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"LED","D1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84259"
"DFLS130L","D2,D4","Diode_SMD:D_PowerDI-123","C110493"
"MMSZ5254C-E3-08","D3","Diode_SMD:D_SOD-123","C241953"
"OBD2_Connector","J1","JGCommonFootprintLibrary:OBD-Male",""
"TYPE-C-31-M-12","J2","JGCommonFootprintLibrary:HRO_TYPE-C-31-M-12","C165948"
"Conn_01x04","J3","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","C161871"
"10uH","L1","JGCommonFootprintLibrary:CHILSIN-LVF303012","C142153"
"10K","R1,R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C84376"
"31.6K","R10","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C228743"
"120R","R3","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C175512"
"1.6K","R2,R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17394"
"5.1K","R6,R8","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C336831"
"100K","R7,R9","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C96346"
"SW_Push","SW1,SW2","JGCommonFootprintLibrary:HRO-K2-1807","C502307"
"TP_TX","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_RX","TP2","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_BOOT","TP3","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_RESET","TP4","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_SENSE","TP5","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_CANH","TP6","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_CANL","TP7","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_GND","TP8","TestPoint:TestPoint_Pad_D1.0mm",""
"TP_3V3","TP9","TestPoint:TestPoint_Pad_D1.0mm",""
"ESP32-S2-WROOM","U1","JGCommonFootprintLibrary:XCVR_ESP32-S2-WROOM","C967025"
"SN65HVD230","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C12084"
"MT1470","U3","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","C181781"